SES_Verslagjaar;SES_PC4;SES_Aantal_huishoudens;SES_Deelscore_welvaart;SES_Deelscore_arbeid;SES_Totaalscore;SES_Spreiding_welvaart;SES_Spreiding_arbeid;SES_Spreiding_totaalscore;SES_Interval_ondergrens;SES_Interval_bovengrens
2022;1966;2500;-0,095;-0,053;-0,222;0,402;0,378;0,907;0,899;0,914
2022;1967;1800;0,178;0,123;0,397;0,255;0,216;0,603;0,596;0,61
2022;1968;100;0,183;0,043;0,279;0,287;0,233;0,649;0,626;0,672
2022;1969;500;0,227;0,11;0,395;0,227;0,199;0,544;0,525;0,563
2022;1971;4200;0,016;0,054;0,054;0,347;0,293;0,765;0,76;0,771
2022;1972;4000;-0,099;-0,011;-0,176;0,395;0,354;0,868;0,861;0,875
2022;1973;2800;-0,061;0,017;-0,097;0,378;0,315;0,818;0,811;0,825
2022;1974;3000;-0,101;-0,042;-0,22;0,411;0,346;0,89;0,885;0,895
2022;1975;1400;-0,141;-0,029;-0,242;0,413;0,381;0,92;0,91;0,929
2022;1976;200;-0,028;0,034;0;0,442;0,251;0,769;0,721;0,817
2022;1981;900;0,192;0,045;0,317;0,27;0,235;0,657;0,65;0,665
2022;1985;1300;0,296;0,072;0,513;0,134;0,208;0,506;0,495;0,516
2022;1991;5300;0,141;0,082;0,272;0,285;0,244;0,662;0,659;0,666
2022;1992;800;0,178;0,119;0,378;0,268;0,207;0,604;0,592;0,617
2022;2011;8000;0,06;0,043;0,239;0,368;0,295;0,751;0,748;0,755
2022;2012;6000;0,156;0,049;0,365;0,319;0,275;0,728;0,725;0,732
2022;2013;4000;0,128;0,074;0,335;0,316;0,266;0,716;0,711;0,722
2022;2014;3800;0,157;0,099;0,397;0,287;0,234;0,667;0,663;0,671
2022;2015;2500;0,175;0,033;0,375;0,307;0,284;0,718;0,715;0,721
2022;2019;100;NA;NA;NA;NA;NA;NA;NA;NA
2022;2021;4600;0,039;0,063;0,202;0,359;0,28;0,769;0,763;0,776
2022;2022;3900;0,096;0,083;0,263;0,319;0,26;0,744;0,738;0,75
2022;2023;5300;0,194;0,096;0,463;0,272;0,229;0,652;0,647;0,658
2022;2024;4000;0,172;0,082;0,392;0,276;0,247;0,679;0,673;0,684
2022;2025;4700;0,007;0,021;0,056;0,388;0,322;0,89;0,885;0,895
2022;2026;2400;0,045;0,033;0,132;0,373;0,306;0,857;0,851;0,863
2022;2031;800;0,115;0,072;0,294;0,348;0,269;0,803;0,792;0,815
2022;2032;4200;-0,026;0,016;0,019;0,404;0,336;0,932;0,926;0,939
2022;2033;6100;-0,08;-0,018;-0,126;0,412;0,358;0,948;0,944;0,953
2022;2034;5100;-0,106;-0,053;-0,205;0,413;0,38;0,953;0,947;0,959
2022;2035;3300;-0,075;-0,023;-0,118;0,422;0,379;0,989;0,985;0,993
2022;2036;3700;-0,002;-0,004;-0,009;0,369;0,329;0,839;0,835;0,843
2022;2037;4100;-0,2;-0,116;-0,423;0,421;0,428;1,005;1;1,01
2022;2041;3800;-0,048;-0,029;-0,11;0,409;0,35;0,869;0,865;0,873
2022;2042;4300;0,089;0,014;0,145;0,362;0,289;0,776;0,768;0,783
2022;2051;1700;0,257;0,077;0,525;0,213;0,235;0,599;0,59;0,608
2022;2061;3000;0,153;0,001;0,273;0,335;0,286;0,791;0,785;0,797
2022;2063;300;0,131;0,043;0,263;0,321;0,265;0,737;0,722;0,753
2022;2064;1400;0,157;0,077;0,318;0,298;0,257;0,7;0,693;0,707
2022;2065;100;0,23;0,098;0,42;0,224;0,208;0,525;0,502;0,548
2022;2071;3200;0,185;0,071;0,35;0,267;0,236;0,644;0,635;0,653
2022;2082;1500;0,17;0,049;0,358;0,314;0,262;0,733;0,726;0,741
2022;2101;3700;0,108;0,001;0,187;0,365;0,274;0,813;0,805;0,821
2022;2102;2300;0,27;0,049;0,498;0,193;0,235;0,589;0,581;0,597
2022;2103;1500;0,164;0,074;0,351;0,3;0,258;0,727;0,719;0,735
2022;2104;1600;0,114;0,024;0,214;0,341;0,275;0,747;0,74;0,753
2022;2105;1800;0,179;0,04;0,32;0,268;0,232;0,663;0,655;0,671
2022;2106;1200;0,281;0,074;0,554;0,174;0,241;0,549;0,541;0,556
2022;2111;1800;0,314;0,051;0,573;0,133;0,24;0,515;0,506;0,524
2022;2114;1000;0,112;0,031;0,191;0,321;0,27;0,72;0,708;0,731
2022;2116;500;0,216;-0,017;0,328;0,265;0,246;0,707;0,689;0,724
2022;2121;2200;0,185;0,027;0,302;0,276;0,265;0,694;0,69;0,699
2022;2131;4700;0,099;0,029;0,162;0,331;0,276;0,769;0,762;0,777
2022;2132;6400;0,021;0,02;0,069;0,375;0,31;0,81;0,805;0,814
2022;2133;3400;0,083;0,036;0,153;0,325;0,293;0,745;0,74;0,751
2022;2134;11200;0,095;0,071;0,217;0,33;0,28;0,766;0,763;0,768
2022;2135;7300;0,13;0,084;0,283;0,298;0,257;0,703;0,7;0,706
2022;2136;800;0,226;0,109;0,42;0,214;0,217;0,551;0,537;0,565
2022;2141;2000;0,161;0,077;0,315;0,297;0,254;0,682;0,677;0,686
2022;2142;500;0,194;0,123;0,44;0,245;0,209;0,554;0,536;0,571
2022;2143;100;NA;NA;NA;NA;NA;NA;NA;NA
2022;2144;400;0,175;0,133;0,359;0,234;0,195;0,544;0,525;0,563
2022;2151;6200;0,13;0,098;0,284;0,291;0,236;0,683;0,678;0,688
2022;2152;4700;0,133;0,114;0,319;0,289;0,229;0,663;0,659;0,667
2022;2153;1500;0,021;0,026;0,029;0,374;0,276;0,781;0,769;0,792
2022;2154;100;0,13;0,088;0,25;0,304;0,229;0,643;0,617;0,669
2022;2155;0;NA;NA;NA;NA;NA;NA;NA;NA
2022;2156;200;0,135;0,062;0,24;0,305;0,246;0,666;0,643;0,688
2022;2157;500;0,072;0,084;0,161;0,339;0,238;0,7;0,682;0,718
2022;2158;200;0,118;0,07;0,202;0,3;0,244;0,627;0,598;0,656
2022;2159;200;0,165;0,067;0,324;0,31;0,245;0,653;0,631;0,676
2022;2161;5800;0,083;0,059;0,162;0,33;0,248;0,723;0,72;0,727
2022;2162;3200;0,068;0,068;0,15;0,333;0,262;0,742;0,737;0,747
2022;2163;1300;0,095;0,067;0,184;0,306;0,251;0,675;0,664;0,685
2022;2165;1400;0,129;0,094;0,261;0,299;0,235;0,661;0,653;0,67
2022;2171;4500;0,105;0,068;0,212;0,313;0,249;0,7;0,695;0,705
2022;2172;2500;0,068;0,069;0,159;0,348;0,253;0,751;0,745;0,757
2022;2181;4400;0,067;0,067;0,153;0,336;0,266;0,731;0,725;0,736
2022;2182;5600;0,084;0,068;0,176;0,32;0,259;0,713;0,708;0,717
2022;2191;1000;0,131;0,091;0,247;0,286;0,227;0,643;0,631;0,654
2022;2201;5900;0,093;0,07;0,198;0,33;0,258;0,721;0,714;0,727
2022;2202;4000;0,104;0,03;0,184;0,348;0,273;0,727;0,722;0,731
2022;2203;2100;0,082;0,037;0,143;0,333;0,278;0,754;0,745;0,762
2022;2204;400;0,202;0,064;0,363;0,262;0,265;0,643;0,629;0,657
2022;2211;6400;0,076;0,065;0,152;0,34;0,259;0,731;0,726;0,735
2022;2212;200;0,164;0,128;0,472;0,291;0,221;0,631;0,614;0,648
2022;2215;6400;0,173;0,115;0,384;0,257;0,214;0,606;0,601;0,611
2022;2216;400;0,101;0,133;0,326;0,287;0,2;0,609;0,594;0,624
2022;2221;5600;0,025;0,04;0,037;0,348;0,294;0,761;0,757;0,765
2022;2222;0;NA;NA;NA;NA;NA;NA;NA;NA
2022;2223;2500;0,046;0,046;0,081;0,361;0,281;0,783;0,775;0,792
2022;2224;4000;0,005;0,027;0,008;0,381;0,314;0,829;0,822;0,835
2022;2225;5500;0,127;0,09;0,222;0,272;0,22;0,611;0,606;0,617
2022;2231;6600;0,117;0,096;0,239;0,303;0,233;0,664;0,659;0,668
2022;2232;200;0,102;0,157;0,323;0,344;0,17;0,732;0,705;0,758
2022;2235;2300;0,161;0,127;0,364;0,259;0,205;0,613;0,608;0,618
2022;2241;4500;0,053;0,004;0,081;0,369;0,307;0,819;0,814;0,824
2022;2242;4000;0,095;0,002;0,169;0,38;0,299;0,832;0,826;0,837
2022;2243;1300;0,3;0,005;0,486;0,156;0,242;0,551;0,542;0,561
2022;2244;700;0,332;0,069;0,647;0,104;0,252;0,469;0,459;0,48
2022;2245;1000;0,08;0,025;0,168;0,381;0,29;0,81;0,796;0,824
2022;2251;5000;0,094;0,035;0,185;0,352;0,282;0,781;0,777;0,786
2022;2252;2200;0,199;0,067;0,402;0,255;0,245;0,652;0,646;0,658
2022;2253;3600;0,131;0,053;0,286;0,304;0,266;0,709;0,702;0,715
2022;2254;300;0,207;0,102;0,475;0,254;0,231;0,639;0,616;0,662
2022;2261;2400;0,114;-0,007;0,189;0,329;0,272;0,772;0,763;0,781
2022;2262;1700;-0,105;-0,05;-0,2;0,394;0,372;0,898;0,891;0,906
2022;2263;2700;-0,138;-0,081;-0,297;0,404;0,396;0,956;0,951;0,96
2022;2264;3900;0,107;0,029;0,22;0,334;0,277;0,753;0,747;0,76
2022;2265;2300;0,082;0,009;0,147;0,358;0,294;0,799;0,79;0,808
2022;2266;2800;0,028;0,02;0,059;0,379;0,319;0,855;0,849;0,86
2022;2267;200;0,329;0,062;0,642;0,106;0,251;0,439;0,405;0,473
2022;2271;3100;0,172;0,054;0,373;0,301;0,257;0,733;0,726;0,739
2022;2272;3800;0,142;0,041;0,289;0,303;0,258;0,736;0,729;0,744
2022;2273;5700;-0,069;-0,066;-0,14;0,411;0,382;0,958;0,954;0,961
2022;2274;5800;0,073;0,049;0,23;0,333;0,298;0,781;0,778;0,785
2022;2275;1900;0,207;0,065;0,456;0,265;0,264;0,684;0,677;0,691
2022;2281;2000;0,209;0,094;0,494;0,229;0,243;0,579;0,57;0,588
2022;2282;5300;-0,003;0,017;0,058;0,385;0,322;0,865;0,861;0,87
2022;2283;3700;-0,019;-0,001;0,001;0,369;0,33;0,818;0,813;0,824
2022;2284;2700;-0,117;-0,066;-0,213;0,395;0,364;0,885;0,879;0,89
2022;2285;3800;0,011;-0,015;0,007;0,395;0,335;0,889;0,885;0,892
2022;2286;5300;0,006;0,016;0,046;0,386;0,309;0,895;0,892;0,898
2022;2287;2100;-0,156;-0,092;-0,311;0,413;0,406;0,976;0,971;0,981
2022;2288;1200;0,135;0,102;0,37;0,289;0,246;0,658;0,643;0,673
2022;2289;800;0,099;0,018;0,211;0,369;0,325;0,868;0,858;0,878
2022;2291;5700;0,075;0,08;0,171;0,345;0,249;0,745;0,741;0,749
2022;2292;1000;0,169;0,133;0,368;0,262;0,206;0,638;0,631;0,644
2022;2295;1600;0,092;0,086;0,179;0,34;0,24;0,705;0,697;0,713
2022;2311;5000;-0,007;-0,015;0,162;0,416;0,34;0,814;0,811;0,817
2022;2312;7200;-0,081;-0,031;0,019;0,423;0,366;0,877;0,872;0,881
2022;2313;5600;0,114;0,058;0,338;0,344;0,282;0,771;0,767;0,776
2022;2314;2700;0,106;0,031;0,255;0,362;0,298;0,826;0,821;0,832
2022;2315;4300;-0,13;-0,034;-0,159;0,416;0,381;0,956;0,951;0,962
2022;2316;4900;-0,04;-0,007;0,053;0,427;0,364;0,949;0,945;0,953
2022;2317;4700;0,023;-0,011;0,069;0,391;0,329;0,897;0,892;0,901
2022;2318;1300;0,222;0,091;0,511;0,206;0,229;0,548;0,539;0,557
