Code vooropleiding oorspr. code|Onderwijssector|Omschrijving vooropleiding oorspr. code
04672|HO|HBO Vervoerskundige Informatica
04673|HO|Radiologisch Laborant
04674|HO|Fiscaal Economisch Management
04675|HO|HBO Financiele Planning
04676|HO|Theorie der muziek
04677|HO|Economisch Juridisch Management
04678|HO|Algemene industriele vormgeving
04679|HO|Architectonische vormgeving
04680|HO|Kaderopleiding opbouwwerk
04681|HO|Voortgezette agogische beroepsopleiding
04682|HO|Hogere beroepsopleiding psychosynthese
04683|HO|Modevormgeving
04684|HO|Economisch-linguistisch
04685|HO|Geestelijk raadswerk
04686|HO|Journalistiek
04690|HO|Maatschappelijk werk (hbo-mw)
04691|HO|Expressie door woord en gebaar
04692|HO|Journalistiek en voorlichting
04693|HO|Beroepskeuzewerk
04694|HO|Arbeidsvoorziening
04696|HO|Arbeidsmarktpolitiek/personeelsbeleid (hbo-ap/pb)
04697|HO|Propedeuse hsao
04698|HO|Expressie door woord en gebaar
04699|HO|Beeldende kunst en vormgeving
04700|HO|Academie opleiding
04701|HO|Tekenen
04702|HO|Schilderen
04703|HO|Beeldhouwen
04704|HO|Foto-/grafische media
04705|HO|Monumentale kunst
04706|HO|Visuele communicatie
04707|HO|Vormgeving in metalen en kunststoffen
04708|HO|Textiele vormgeving
04710|HO|Beeldende kunsten
04711|HO|Propedeusejaar beeldende kunst
04712|HO|Algemene industriele vormgeving
04713|HO|Kunst en techniek (cognitief ergonomisch ontwerpen/interaction design)
04714|HO|MFA Interactive Media and environments
04715|HO|Plastische vormgeving
04716|HO|Architectonische vormgeving
04717|HO|Fotografie/film vormgeving
04718|HO|Voortgezette opleiding fotografische vormgeving
04719|HO|Keramische vormgeving
