Opleidingscode|ISCEDF2013-detailgroep|ISCEDF2013-detailgroep omschrijving|ISCEDF2013-rubriek|ISCEDF2013-rubriek omschrijving
08161|0114|lerarenopleiding algemene en beroepsgerichte vakken|011419|biologie
08176|0114|lerarenopleiding algemene en beroepsgerichte vakken|011410|aardrijkskunde
08257|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
08263|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
08401|0114|lerarenopleiding algemene en beroepsgerichte vakken|011422|economie
08402|0114|lerarenopleiding algemene en beroepsgerichte vakken|011422|economie
08403|0114|lerarenopleiding algemene en beroepsgerichte vakken|011423|bedrijfseconomie
08451|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
08618|0114|lerarenopleiding algemene en beroepsgerichte vakken|011411|maatschappijleer
08620|0114|lerarenopleiding algemene en beroepsgerichte vakken|011411|maatschappijleer
08700|0114|lerarenopleiding algemene en beroepsgerichte vakken|011414|muziek
08710|0114|lerarenopleiding algemene en beroepsgerichte vakken|011408|geschiedenis
08802|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
08803|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
08888|0923|maatschappelijk werk en beroepskeuzewerk|092304|school-, beroepskeuze, reïntegratie
09000|0413|management bedrijfs- en personeelswetenschappen|041302|juridische bestuurskunde
09001|0913|verpleeg- en verloskunde|091301|verpleging
09002|0411|financieel management en belastingen|041103|belastingen
09003|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
09004|1013|horeca|101301|horeca algemeen
09005|0311|economie en econometrie|031101|economie
