Opleidingscode|ISCEDF2013-detailgroep|ISCEDF2013-detailgroep omschrijving|ISCEDF2013-rubriek|ISCEDF2013-rubriek omschrijving
34952|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
34953|0914|medische diagnostiek en medische technologie|091406|prothesetechniek, bewegingstechnologie overig
35025|0114|lerarenopleiding algemene en beroepsgerichte vakken|011430|lichamelijke oefening
35115|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
35131|0231|vreemde talen z.n.d.|023104|Duits
35143|0231|vreemde talen z.n.d.|023103|Frans
35144|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
35146|0221|theologie, levensbeschouwing|022101|theologie
35158|0111|onderwijskunde|011102|pedagogiek, andragogiek
35168|0541|wiskunde|054101|wiskunde
35182|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
35185|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
35186|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
35193|0114|lerarenopleiding algemene en beroepsgerichte vakken|011403|duits
35195|0114|lerarenopleiding algemene en beroepsgerichte vakken|011402|engels
35196|0114|lerarenopleiding algemene en beroepsgerichte vakken|011404|frans
35197|0114|lerarenopleiding algemene en beroepsgerichte vakken|011408|geschiedenis
35198|0114|lerarenopleiding algemene en beroepsgerichte vakken|011401|nederlands
35199|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
35201|0114|lerarenopleiding algemene en beroepsgerichte vakken|011410|aardrijkskunde
35202|0114|lerarenopleiding algemene en beroepsgerichte vakken|011422|economie
35203|0114|lerarenopleiding algemene en beroepsgerichte vakken|011423|bedrijfseconomie
35204|0114|lerarenopleiding algemene en beroepsgerichte vakken|011412|psychologie, pedagogiek, andragogiek
35205|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
35207|0114|lerarenopleiding algemene en beroepsgerichte vakken|011422|economie
35208|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35210|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35221|0114|lerarenopleiding algemene en beroepsgerichte vakken|011416|wiskunde
35254|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35255|0114|lerarenopleiding algemene en beroepsgerichte vakken|011405|spaans
35261|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
35301|0114|lerarenopleiding algemene en beroepsgerichte vakken|011419|biologie
35302|0114|lerarenopleiding algemene en beroepsgerichte vakken|011428|verzorging
35303|0114|lerarenopleiding algemene en beroepsgerichte vakken|011417|informatica
35322|0114|lerarenopleiding algemene en beroepsgerichte vakken|011413|beeldende kunst, expressie, vormgeving
35342|0114|lerarenopleiding algemene en beroepsgerichte vakken|011413|beeldende kunst, expressie, vormgeving
35362|0114|lerarenopleiding algemene en beroepsgerichte vakken|011413|beeldende kunst, expressie, vormgeving
35381|0114|lerarenopleiding algemene en beroepsgerichte vakken|011429|huishoudkunde, voeding
35382|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35383|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35384|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35385|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35386|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35387|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35388|0114|lerarenopleiding algemene en beroepsgerichte vakken|011426|medisch, paramedisch
35389|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35390|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35391|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35392|0114|lerarenopleiding algemene en beroepsgerichte vakken|011422|economie
35393|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35394|0114|lerarenopleiding algemene en beroepsgerichte vakken|011431|overige vakken
35395|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35396|0114|lerarenopleiding algemene en beroepsgerichte vakken|011426|medisch, paramedisch
35401|0114|lerarenopleiding algemene en beroepsgerichte vakken|011428|verzorging
35411|0114|lerarenopleiding algemene en beroepsgerichte vakken|011411|maatschappijleer
35421|0114|lerarenopleiding algemene en beroepsgerichte vakken|011412|psychologie, pedagogiek, andragogiek
35423|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35441|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
35442|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35484|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
35513|0114|lerarenopleiding algemene en beroepsgerichte vakken|011411|maatschappijleer
35514|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011301|lerarenopleiding basisonderwijs
35515|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
35516|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
35517|0411|financieel management en belastingen|041103|belastingen
35520|0411|financieel management en belastingen|041101|financieel management en administratie
35521|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
35522|1041|transport en logistiek|104101|(transport en) logistiek algemeen
35523|0416|groothandel en detailhandel|041602|detailhandel
35524|1015|toerisme en vrijetijdsbesteding|101501|toerisme
35525|0114|lerarenopleiding algemene en beroepsgerichte vakken|011400|lerarenopleiding algemene en beroepsgerichte vakken z.n.d.
35526|0211|audiovisuele techniek en mediaproductie|021101|fotografie, film, video
35527|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
35528|0223|filosofie en ethiek|022301|filosofie
35529|0731|architectuur en stedebouwkunde|073101|planologie
35530|0512|biochemie|051202|biomedische wetenschappen
35531|0411|financieel management en belastingen|041101|financieel management en administratie
39100|0114|lerarenopleiding algemene en beroepsgerichte vakken|011413|beeldende kunst, expressie, vormgeving
39109|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
39110|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
39111|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
39112|0114|lerarenopleiding algemene en beroepsgerichte vakken|011414|muziek
39113|0114|lerarenopleiding algemene en beroepsgerichte vakken|011413|beeldende kunst, expressie, vormgeving
39116|0114|lerarenopleiding algemene en beroepsgerichte vakken|011417|informatica
39118|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
39119|0221|theologie, levensbeschouwing|022101|theologie
39199|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
39200|0212|mode-, interieur- en industriële vormgeving|021203|binnenhuisarchitectuur
39201|1032|openbare orde en veiligheid|103201|beveiliging algemeen
39202|0213|beeldende kunst, kunstgeschiedenis|021301|kunst algemeen
39203|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
39204|0731|architectuur en stedebouwkunde|073101|planologie
39205|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
39206|0313|psychologie|031303|creatieve therapie
39207|0313|psychologie|031302|psychotherapie
39208|0222|geschiedenis, archeologie|022202|archeologie
39209|0910|gezondheidszorg z.n.d.|091000|gezondheidszorg z.n.d.
39210|0212|mode-, interieur- en industriële vormgeving|021203|binnenhuisarchitectuur
39211|0211|audiovisuele techniek en mediaproductie|021101|fotografie, film, video
39212|0723|textiel-, kleding-, schoenen-, en leervervaardiging|072301|maatkleding, confectie
39213|0414|marketing en public relations|041402|public relations
39214|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
39215|0512|biochemie|051201|biochemie, biologische laboratoriumtechniek
39216|0714|elektronica en industriële automatisering|071403|industriële procesautomatisering
39217|0511|biologie|051101|biologie
39218|0111|onderwijskunde|011101|onderwijskunde
39219|0914|medische diagnostiek en medische technologie|091408|hart-, longfunctie en overige medische techniek
39220|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
39221|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
39222|0511|biologie|051101|biologie
39223|1013|horeca|101301|horeca algemeen
39224|0914|medische diagnostiek en medische technologie|091403|audicien, audiometrie
39225|1041|transport en logistiek|104104|luchtvaart
39226|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
39227|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
39228|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
39230|1032|openbare orde en veiligheid|103204|redding en opruiming, brandweer
39232|0732|bouwkunde en civiele techniek|073209|bouwmanagement, aanneming, werkvoorbereiding
39233|0413|management bedrijfs- en personeelswetenschappen|041308|bedrijfstechniek, technische bedrijfsvoering
39234|0710|techniek en technische dienstverlening z.n.d.|071000|techniek en technische dienstverlening z.n.d.
39235|0917|traditionele en alternatieve geneeskunde en therapie|091701|traditionele en alternatieve geneeskunde en therapie
39236|0923|maatschappelijk werk en beroepskeuzewerk|092305|arbeidsbemiddeling
39237|0411|financieel management en belastingen|041101|financieel management en administratie
39239|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
39240|0719|techniek en technische dienstverlening overig|071901|technische industriele vormgeving
39241|0411|financieel management en belastingen|041101|financieel management en administratie
39243|0714|elektronica en industriële automatisering|071404|scheepsradio-, tele- en datacommunicatie
39244|1013|horeca|101301|horeca algemeen
39245|1013|horeca|101301|horeca algemeen
39248|1041|transport en logistiek|104101|(transport en) logistiek algemeen
39249|1032|openbare orde en veiligheid|103202|politie
39250|0612|ontwerp en beheer van database en netwerken|061201|netwerk- en systeembeheer
39252|0911|tandheelkunde|091104|tandtechniek
39254|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
39267|0311|economie en econometrie|031101|economie
39268|1032|openbare orde en veiligheid|103201|beveiliging algemeen
39269|0612|ontwerp en beheer van database en netwerken|061201|netwerk- en systeembeheer
39271|1015|toerisme en vrijetijdsbesteding|101501|toerisme
39272|0917|traditionele en alternatieve geneeskunde en therapie|091701|traditionele en alternatieve geneeskunde en therapie
39273|1013|horeca|101301|horeca algemeen
39274|1013|horeca|101301|horeca algemeen
39275|1013|horeca|101301|horeca algemeen
39278|0731|architectuur en stedebouwkunde|073101|planologie
39279|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
39280|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
39281|0413|management bedrijfs- en personeelswetenschappen|041305|bedrijfseconomie
39282|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
39283|0913|verpleeg- en verloskunde|091301|verpleging
39294|0313|psychologie|031303|creatieve therapie
39301|0114|lerarenopleiding algemene en beroepsgerichte vakken|011431|overige vakken
39305|0512|biochemie|051201|biochemie, biologische laboratoriumtechniek
39308|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
39309|0619|informatica overig|061901|kunstmatige intelligentie en kennistechnologie
39310|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
39311|0313|psychologie|031301|psychologie
39312|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
39500|0710|techniek en technische dienstverlening z.n.d.|071000|techniek en technische dienstverlening z.n.d.
39501|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011301|lerarenopleiding basisonderwijs
40015|0714|elektronica en industriële automatisering|071406|computertechniek en computer engineering
40019|0922|jeugdpedagogisch werk en kinderverzorging|092201|jeugdpedagogisch werk en kinderverzorging
40065|0313|psychologie|031302|psychotherapie
40101|0913|verpleeg- en verloskunde|091301|verpleging
40118|0215|muziek en theater|021502|theater
40120|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
40124|0714|elektronica en industriële automatisering|071406|computertechniek en computer engineering
40125|0731|architectuur en stedebouwkunde|073101|planologie
44101|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011302|lerarenopleiding speciaal basisonderwijs
44102|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011302|lerarenopleiding speciaal basisonderwijs
44103|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011302|lerarenopleiding speciaal basisonderwijs
44104|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
44113|0111|onderwijskunde|011102|pedagogiek, andragogiek
44116|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
44135|0111|onderwijskunde|011101|onderwijskunde
44136|0111|onderwijskunde|011101|onderwijskunde
44141|0111|onderwijskunde|011101|onderwijskunde
44336|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
44337|0731|architectuur en stedebouwkunde|073104|landschapsarchitectuur
44338|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
44507|0313|psychologie|031301|psychologie
44714|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
44733|0211|audiovisuele techniek en mediaproductie|021101|fotografie, film, video
44739|0215|muziek en theater|021501|muziek
44749|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
44756|0211|audiovisuele techniek en mediaproductie|021101|fotografie, film, video
44758|0211|audiovisuele techniek en mediaproductie|021102|grafisch ontwerpen
44759|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
44760|0212|mode-, interieur- en industriële vormgeving|021203|binnenhuisarchitectuur
44804|0212|mode-, interieur- en industriële vormgeving|021201|modeontwerpen
44852|0215|muziek en theater|021501|muziek
44853|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
44874|0215|muziek en theater|021502|theater
45099|0114|lerarenopleiding algemene en beroepsgerichte vakken|011419|biologie
45106|0114|lerarenopleiding algemene en beroepsgerichte vakken|011416|wiskunde
45109|0114|lerarenopleiding algemene en beroepsgerichte vakken|011410|aardrijkskunde
45110|0114|lerarenopleiding algemene en beroepsgerichte vakken|011403|duits
45112|0114|lerarenopleiding algemene en beroepsgerichte vakken|011402|engels
45113|0114|lerarenopleiding algemene en beroepsgerichte vakken|011404|frans
45119|0114|lerarenopleiding algemene en beroepsgerichte vakken|011401|nederlands
45124|0114|lerarenopleiding algemene en beroepsgerichte vakken|011405|spaans
45160|0111|onderwijskunde|011101|onderwijskunde
45262|0114|lerarenopleiding algemene en beroepsgerichte vakken|011402|engels
45263|0114|lerarenopleiding algemene en beroepsgerichte vakken|011416|wiskunde
45264|0114|lerarenopleiding algemene en beroepsgerichte vakken|011410|aardrijkskunde
45265|0114|lerarenopleiding algemene en beroepsgerichte vakken|011403|duits
45266|0114|lerarenopleiding algemene en beroepsgerichte vakken|011404|frans
45267|0114|lerarenopleiding algemene en beroepsgerichte vakken|011408|geschiedenis
45268|0114|lerarenopleiding algemene en beroepsgerichte vakken|011411|maatschappijleer
45269|0114|lerarenopleiding algemene en beroepsgerichte vakken|011401|nederlands
45270|0114|lerarenopleiding algemene en beroepsgerichte vakken|011422|economie
45271|0114|lerarenopleiding algemene en beroepsgerichte vakken|011423|bedrijfseconomie
45272|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
45273|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
45274|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
45275|0114|lerarenopleiding algemene en beroepsgerichte vakken|011422|economie
45276|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
45277|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
45279|0114|lerarenopleiding algemene en beroepsgerichte vakken|011419|biologie
45283|0421|recht|042104|juridisch bestuurlijk
45284|0321|journalistiek|032101|journalistiek
45285|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
45286|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
45287|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
45288|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
45289|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
45290|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
45292|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
45293|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
45294|0613|softwareontwikkeling en systeemanalyse|061304|applicatiebouw en programmeren
45295|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
45296|0111|onderwijskunde|011102|pedagogiek, andragogiek
45297|0731|architectuur en stedebouwkunde|073101|planologie
45298|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
45518|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
45532|0111|onderwijskunde|011101|onderwijskunde
45533|0612|ontwerp en beheer van database en netwerken|061203|informatiebeveiliging
49097|0719|techniek en technische dienstverlening overig|071901|technische industriele vormgeving
49098|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
49099|0111|onderwijskunde|011103|pedagogisch-didactische vaardigheden
49101|0211|audiovisuele techniek en mediaproductie|021102|grafisch ontwerpen
49102|0212|mode-, interieur- en industriële vormgeving|021201|modeontwerpen
49103|0215|muziek en theater|021502|theater
49104|0215|muziek en theater|021501|muziek
49105|0215|muziek en theater|021501|muziek
49106|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
49107|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
49108|0313|psychologie|031302|psychotherapie
49113|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
49114|0215|muziek en theater|021502|theater
49115|0912|geneeskunde|091201|(huis)arts, specialist, geneeskunde
49117|0114|lerarenopleiding algemene en beroepsgerichte vakken|011413|beeldende kunst, expressie, vormgeving
49120|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
49121|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
49122|1041|transport en logistiek|104105|scheepvaart
49123|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
49124|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49125|0215|muziek en theater|021502|theater
49126|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
49127|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
49128|0212|mode-, interieur- en industriële vormgeving|021205|artistieke industriele vormgeving
49130|1014|sport|101401|sport en bewegen algemeen
49131|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
49132|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49133|0714|elektronica en industriële automatisering|071403|industriële procesautomatisering
49134|0716|voertuigtechniek, scheepsbouw- en vliegtuigbouwkunde|071602|auto-, motorfietstechniek
49135|1015|toerisme en vrijetijdsbesteding|101501|toerisme
49136|0710|techniek en technische dienstverlening z.n.d.|071000|techniek en technische dienstverlening z.n.d.
49137|0413|management bedrijfs- en personeelswetenschappen|041305|bedrijfseconomie
49138|0211|audiovisuele techniek en mediaproductie|021104|radio-, tv-productie
49139|1014|sport|101401|sport en bewegen algemeen
49140|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
49141|0321|journalistiek|032102|communicatiewetenschappen
49142|0413|management bedrijfs- en personeelswetenschappen|041305|bedrijfseconomie
49143|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
49144|0710|techniek en technische dienstverlening z.n.d.|071000|techniek en technische dienstverlening z.n.d.
49145|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
49146|0922|jeugdpedagogisch werk en kinderverzorging|092201|jeugdpedagogisch werk en kinderverzorging
49147|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
49148|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49149|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49150|0222|geschiedenis, archeologie|022203|museologie
49151|1013|horeca|101301|horeca algemeen
49152|0913|verpleeg- en verloskunde|091301|verpleging
49153|1041|transport en logistiek|104101|(transport en) logistiek algemeen
49154|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49155|0714|elektronica en industriële automatisering|071403|industriële procesautomatisering
49156|0714|elektronica en industriële automatisering|071406|computertechniek en computer engineering
49157|0619|informatica overig|061901|kunstmatige intelligentie en kennistechnologie
49158|1013|horeca|101301|horeca algemeen
49159|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49160|1014|sport|101401|sport en bewegen algemeen
49161|0313|psychologie|031301|psychologie
49162|0715|werktuigbouwkunde en metaalbewerking|071501|werktuigbouwkunde algemeen
49163|0414|marketing en public relations|041401|marketing, commerciele economie
49164|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
49165|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
49167|0413|management bedrijfs- en personeelswetenschappen|041304|organisatiekunde, kwaliteitszorg
49168|0923|maatschappelijk werk en beroepskeuzewerk|092302|sociaal-juridische dienstverlening
49169|1014|sport|101401|sport en bewegen algemeen
49170|0311|economie en econometrie|031101|economie
49238|0212|mode-, interieur- en industriële vormgeving|021203|binnenhuisarchitectuur
49246|0913|verpleeg- en verloskunde|091301|verpleging
49248|0111|onderwijskunde|011101|onderwijskunde
49284|0213|beeldende kunst, kunstgeschiedenis|021302|beeldende kunst
49285|1014|sport|101401|sport en bewegen algemeen
49286|0313|psychologie|031303|creatieve therapie
49287|1015|toerisme en vrijetijdsbesteding|101501|toerisme
49288|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011301|lerarenopleiding basisonderwijs
49289|0913|verpleeg- en verloskunde|091301|verpleging
49290|0721|levensmiddelentechnologie|072103|zuivel
49291|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49292|1041|transport en logistiek|104101|(transport en) logistiek algemeen
49293|0512|biochemie|051202|biomedische wetenschappen
49294|0313|psychologie|031303|creatieve therapie
49295|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49296|0913|verpleeg- en verloskunde|091303|verloskunde
49297|0619|informatica overig|061901|kunstmatige intelligentie en kennistechnologie
49298|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
49299|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
49300|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
49302|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
49303|0313|psychologie|031303|creatieve therapie
49304|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49306|0111|onderwijskunde|011101|onderwijskunde
49307|1041|transport en logistiek|104101|(transport en) logistiek algemeen
49308|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49396|0713|elektro- en energietechniek|071302|elektrische energietechniek
49397|0619|informatica overig|061901|kunstmatige intelligentie en kennistechnologie
49398|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49399|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49400|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
49401|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
49402|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
49403|0619|informatica overig|061901|kunstmatige intelligentie en kennistechnologie
49404|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
49405|0111|onderwijskunde|011101|onderwijskunde
49406|0721|levensmiddelentechnologie|072101|levensmiddelen algemeen
49407|0612|ontwerp en beheer van database en netwerken|061203|informatiebeveiliging
49408|0712|milieubescherming en milieutechnologie|071201|milieutechnologie
49500|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
49501|0114|lerarenopleiding algemene en beroepsgerichte vakken|011413|beeldende kunst, expressie, vormgeving
49502|0215|muziek en theater|021502|theater
49503|0731|architectuur en stedebouwkunde|073101|planologie
49504|0732|bouwkunde en civiele techniek|073201|weg- en waterbouw
49505|0913|verpleeg- en verloskunde|091303|verloskunde
49506|0732|bouwkunde en civiele techniek|073201|weg- en waterbouw
49507|0321|journalistiek|032102|communicatiewetenschappen
50001|0215|muziek en theater|021502|theater
50002|0710|techniek en technische dienstverlening z.n.d.|071000|techniek en technische dienstverlening z.n.d.
50003|0111|onderwijskunde|011101|onderwijskunde
50004|0314|sociologie en culturele wetenschappen|031403|cultuurwetenschappen
50005|0314|sociologie en culturele wetenschappen|031402|sociologie
50006|0311|economie en econometrie|031103|econometrie
50007|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
50008|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
50009|9999|onbekend of niet gespecifieerd|999999|onbekend
50010|0322|bibliotheek, documentaire informatievoorziening|032201|bibliotheek, archief
50011|0314|sociologie en culturele wetenschappen|031402|sociologie
50012|0511|biologie|051101|biologie
50013|0500|wiskunde, natuurwetenschappen z.n.d.|050000|wiskunde, natuurwetenschappen z.n.d.
50014|0511|biologie|051101|biologie
50015|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
50016|0321|journalistiek|032102|communicatiewetenschappen
50017|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
50018|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
50019|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
50020|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
50021|0221|theologie, levensbeschouwing|022101|theologie
50022|0221|theologie, levensbeschouwing|022101|theologie
50023|0311|economie en econometrie|031101|economie
50033|0914|medische diagnostiek en medische technologie|091408|hart-, longfunctie en overige medische techniek
50035|0314|sociologie en culturele wetenschappen|031402|sociologie
50100|0521|milieu|052101|milieukunde
50101|0311|economie en econometrie|031101|economie
50200|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
50201|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
50202|0221|theologie, levensbeschouwing|022101|theologie
50203|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
50204|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
50205|0533|natuurkunde|053302|sterrenkunde
50206|0533|natuurkunde|053301|natuurkunde
50207|0916|farmacie|091601|farmacie
50250|9999|onbekend of niet gespecifieerd|999999|onbekend of niet gespecifieerd
50253|0314|sociologie en culturele wetenschappen|031405|ontwikkelingskunde (regio)
50290|0231|vreemde talen z.n.d.|023102|Engels
50296|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
50300|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
50340|0711|scheikundige technologie en procestechniek|071104|chemische technologie
50352|0732|bouwkunde en civiele techniek|073201|weg- en waterbouw
50374|0321|journalistiek|032102|communicatiewetenschappen
50393|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
50406|0221|theologie, levensbeschouwing|022101|theologie
50411|1015|toerisme en vrijetijdsbesteding|101501|toerisme
50414|0232|moedertaal, literatuur-, taalwetenschap|023203|taal- en cultuurwetenschappen
50422|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
50423|1031|krijgsmacht|103105|bewapening, wapenonderhoud en overige krijgsmacht
